movie_id,title,genre,rating,budget_million,gross_million,director,lead_actor,release_year
47.0,Movie 47,Drama,5.6,60.0,150.0,Rajamouli,Actor D,2015.0
48.0,Movie 48,Action,6.8,60.0,,Tarantino,Actor A,
49.0,Movie 49,Sci-Fi,4.1,100.0,300.0,Tarantino,Actor D,2022.0
50.0,Movie 49,Fantasy,5.9,100.0,20.0,Rajamouli,,2022.0
,Movie 51,Fantasy,9.1,60.0,80.0,Tarantino,Actor D,2019.0
52.0,Movie 52,Thriller,9.0,10.0,300.0,,Actor B,2018.0
53.0,Movie 53,Comedy,5.6,100.0,150.0,Scorsese,,
54.0,Movie 54,Romance,7.6,,80.0,Scorsese,Actor B,2022.0
55.0,Movie 55,Romance,6.9,30.0,300.0,Spielberg,Actor E,2021.0
56.0,Movie 56,Drama,4.5,100.0,300.0,Scorsese,Actor A,2016.0
57.0,Movie 57,Action,,60.0,300.0,Rajamouli,Actor E,2021.0
58.0,Movie 58,Drama,5.2,30.0,300.0,Cameron,Actor E,2015.0
59.0,Movie 59,Sci-Fi,7.3,30.0,300.0,Nolan,,2021.0
60.0,Movie 60,Drama,8.8,,,,Actor E,2016.0
61.0,Movie 61,Thriller,5.5,100.0,600.0,Nolan,Actor B,2019.0
62.0,Movie 62,Thriller,3.8,100.0,150.0,Tarantino,Actor A,2017.0
63.0,Movie 63,Action,5.1,30.0,20.0,Nolan,Actor C,
64.0,Movie 64,Romance,6.5,,150.0,Cameron,Actor D,2020.0
65.0,Movie 65,Fantasy,8.6,100.0,600.0,Rajamouli,Actor C,2021.0
66.0,Movie 66,Comedy,7.0,60.0,80.0,Scorsese,Actor A,2019.0
67.0,Movie 67,Horror,6.7,150.0,80.0,Tarantino,Actor C,2016.0
,Movie 68,Fantasy,6.2,,80.0,Scorsese,Actor E,2015.0
69.0,Movie 69,Thriller,6.2,150.0,80.0,,Actor E,2022.0
70.0,Movie 70,Sci-Fi,7.5,60.0,600.0,Tarantino,Actor D,2017.0
71.0,Movie 71,Sci-Fi,7.9,150.0,150.0,Nolan,Actor C,2016.0
72.0,Movie 72,Romance,9.1,100.0,20.0,Scorsese,Actor B,
73.0,Movie 73,Comedy,3.6,150.0,150.0,,Actor C,2019.0
74.0,Movie 74,Romance,7.8,100.0,150.0,Spielberg,Actor D,2017.0
75.0,Movie 74,Thriller,8.3,150.0,150.0,Rajamouli,,2016.0
76.0,Movie 76,Comedy,,30.0,,Spielberg,Actor A,2016.0
77.0,Movie 77,Fantasy,9.0,30.0,80.0,Cameron,Actor C,2017.0
78.0,Movie 78,Comedy,6.8,100.0,80.0,Tarantino,Actor E,2021.0
79.0,Movie 79,Drama,9.3,,600.0,Rajamouli,Actor C,2015.0
80.0,Movie 80,Thriller,7.7,10.0,,Tarantino,Actor E,2017.0
81.0,Movie 81,Fantasy,8.8,30.0,20.0,Nolan,Actor D,2018.0
82.0,Movie 82,Action,7.9,100.0,80.0,Spielberg,Actor C,
83.0,Movie 83,Sci-Fi,7.1,60.0,80.0,,,2017.0
84.0,Movie 84,Comedy,8.3,30.0,80.0,Nolan,,2022.0
,Movie 85,Horror,5.6,10.0,150.0,Nolan,,2018.0
86.0,Movie 86,Thriller,6.2,30.0,600.0,Nolan,Actor A,2017.0
87.0,Movie 87,Fantasy,6.7,,600.0,Spielberg,Actor D,2016.0
88.0,Movie 88,Comedy,9.3,60.0,20.0,Rajamouli,Actor D,2016.0
89.0,Movie 89,Sci-Fi,4.8,100.0,600.0,Nolan,Actor B,2022.0
90.0,Movie 90,Romance,7.2,30.0,300.0,,Actor B,2019.0
91.0,Movie 91,Romance,7.4,10.0,150.0,Nolan,Actor C,2017.0
92.0,Movie 92,Comedy,8.4,30.0,,Tarantino,Actor D,2022.0
93.0,Movie 93,Action,4.5,,80.0,Rajamouli,Actor A,2015.0
94.0,Movie 94,Comedy,9.1,150.0,80.0,Spielberg,Actor C,2015.0
95.0,Movie 95,Sci-Fi,,100.0,300.0,Tarantino,Actor B,2019.0
96.0,Movie 96,Romance,9.4,30.0,300.0,Nolan,Actor A,2020.0
97.0,Movie 97,Romance,5.1,,,Tarantino,Actor A,2016.0
98.0,Movie 98,Sci-Fi,3.6,,20.0,Spielberg,,2018.0
99.0,Movie 99,Fantasy,8.7,10.0,80.0,Cameron,Actor D,2020.0
100.0,Movie 99,Comedy,6.8,100.0,80.0,Tarantino,Actor C,2019.0
101.0,Movie 101,Sci-Fi,8.1,60.0,,Nolan,Actor D,2020.0
,Movie 102,Sci-Fi,5.1,10.0,300.0,Scorsese,Actor E,2020.0
103.0,Movie 103,Drama,8.0,60.0,80.0,Scorsese,Actor D,2017.0
104.0,Movie 104,Drama,4.9,100.0,600.0,Tarantino,,2018.0
105.0,Movie 105,Sci-Fi,6.1,,600.0,Rajamouli,,2016.0
106.0,Movie 106,Drama,6.6,100.0,,,Actor E,2017.0
107.0,Movie 107,Drama,3.8,,20.0,Scorsese,Actor A,2017.0
108.0,Movie 108,Drama,4.1,,150.0,Nolan,Actor D,2017.0
109.0,Movie 109,Sci-Fi,8.8,10.0,,Nolan,Actor B,
110.0,Movie 110,Comedy,4.8,,20.0,Rajamouli,Actor A,2022.0
111.0,Movie 111,Drama,9.3,10.0,20.0,Rajamouli,Actor D,2017.0
112.0,Movie 112,Action,8.5,,300.0,Rajamouli,,2020.0
113.0,Movie 113,Fantasy,4.8,60.0,300.0,Nolan,Actor B,2022.0
114.0,Movie 114,Horror,,30.0,,Tarantino,Actor A,2016.0
115.0,Movie 115,Action,4.8,100.0,300.0,Rajamouli,Actor D,2021.0
116.0,Movie 116,Sci-Fi,3.9,30.0,150.0,,Actor A,2017.0
117.0,Movie 117,Comedy,9.2,,80.0,Spielberg,,
118.0,Movie 118,Sci-Fi,5.8,60.0,20.0,Tarantino,Actor C,2016.0
,Movie 119,Action,8.6,150.0,,Tarantino,,2017.0
120.0,Movie 120,Horror,3.8,60.0,150.0,Tarantino,Actor D,2017.0
121.0,Movie 121,Action,7.0,,20.0,,Actor A,2015.0
122.0,Movie 122,Sci-Fi,7.1,30.0,150.0,,,2018.0
123.0,Movie 123,Horror,7.5,10.0,600.0,Nolan,Actor E,2021.0
124.0,Movie 124,Drama,7.0,100.0,20.0,,Actor D,2015.0
125.0,Movie 124,Sci-Fi,8.5,60.0,20.0,Nolan,Actor A,
126.0,Movie 126,Action,9.3,60.0,600.0,Spielberg,,2020.0
127.0,Movie 127,Horror,5.7,,80.0,Cameron,Actor D,2021.0
128.0,Movie 128,Thriller,5.6,60.0,20.0,Rajamouli,Actor A,2015.0
129.0,Movie 129,Horror,8.4,30.0,300.0,Nolan,Actor B,2019.0
130.0,Movie 130,Fantasy,7.8,,150.0,,Actor A,2020.0
131.0,Movie 131,Comedy,4.0,,80.0,,Actor E,2018.0
132.0,Movie 132,Romance,4.4,60.0,,,Actor C,2018.0
133.0,Movie 133,Drama,,10.0,300.0,Rajamouli,,
134.0,Movie 134,Action,9.1,30.0,600.0,Spielberg,Actor B,2019.0
135.0,Movie 135,Horror,6.3,100.0,600.0,,Actor D,2017.0
,Movie 136,Comedy,7.3,10.0,,Rajamouli,Actor A,2018.0
137.0,Movie 137,Action,7.5,30.0,,,Actor B,2018.0
138.0,Movie 138,Comedy,6.2,100.0,300.0,Rajamouli,Actor D,2018.0
139.0,Movie 139,Horror,6.9,30.0,20.0,Cameron,Actor E,2017.0
140.0,Movie 140,Drama,8.7,100.0,80.0,Cameron,Actor B,2018.0
141.0,Movie 141,Horror,7.6,150.0,80.0,Scorsese,Actor A,2022.0
142.0,Movie 142,Comedy,6.4,60.0,,Spielberg,Actor E,
143.0,Movie 143,Comedy,8.8,30.0,,Scorsese,Actor A,2016.0
144.0,Movie 144,Drama,3.8,150.0,150.0,Cameron,Actor A,2021.0
145.0,Movie 145,Horror,6.9,10.0,80.0,Spielberg,Actor B,
146.0,Movie 146,Fantasy,5.7,60.0,80.0,Tarantino,Actor D,2021.0
147.0,Movie 147,Thriller,7.9,10.0,20.0,Nolan,Actor E,2022.0
148.0,Movie 148,Drama,8.9,10.0,,Cameron,Actor B,2022.0
149.0,Movie 149,Drama,4.4,100.0,150.0,Spielberg,Actor D,
150.0,Movie 149,Fantasy,7.2,10.0,300.0,Cameron,Actor D,2018.0
151.0,Movie 151,Thriller,7.3,150.0,,Cameron,Actor A,2017.0
152.0,Movie 152,Comedy,,30.0,20.0,,Actor E,2017.0
,Movie 153,Drama,3.6,10.0,,Cameron,Actor E,2018.0
154.0,Movie 154,Fantasy,3.5,60.0,,Rajamouli,Actor C,2019.0
155.0,Movie 155,Fantasy,3.6,60.0,150.0,Cameron,Actor B,2016.0
156.0,Movie 156,Romance,7.1,,300.0,,Actor B,2019.0
157.0,Movie 157,Drama,6.4,30.0,80.0,Nolan,Actor E,2016.0
158.0,Movie 158,Horror,4.5,10.0,300.0,Cameron,Actor A,2018.0
159.0,Movie 159,Romance,6.6,100.0,600.0,,Actor C,2017.0
160.0,Movie 160,Romance,7.6,60.0,600.0,Tarantino,Actor B,2021.0
161.0,Movie 161,Fantasy,4.9,60.0,600.0,Rajamouli,Actor B,2015.0
162.0,Movie 162,Action,4.4,60.0,300.0,Nolan,Actor C,2018.0
163.0,Movie 163,Drama,6.1,100.0,600.0,Nolan,Actor A,2020.0
164.0,Movie 164,Romance,7.8,30.0,,Rajamouli,Actor C,
165.0,Movie 165,Sci-Fi,5.8,,300.0,Cameron,,2015.0
166.0,Movie 166,Romance,4.0,,80.0,Rajamouli,Actor D,
167.0,Movie 167,Drama,4.5,10.0,80.0,Tarantino,Actor E,2015.0
168.0,Movie 168,Thriller,3.7,,600.0,Rajamouli,Actor E,2018.0
169.0,Movie 169,Action,4.6,100.0,80.0,Scorsese,Actor B,2015.0
,Movie 170,Drama,5.2,60.0,20.0,Tarantino,Actor D,2020.0
171.0,Movie 171,Comedy,,30.0,20.0,Nolan,Actor C,2020.0
172.0,Movie 172,Action,7.1,30.0,600.0,Spielberg,Actor C,2015.0
173.0,Movie 173,Comedy,6.1,60.0,20.0,,Actor A,2017.0
174.0,Movie 174,Sci-Fi,4.1,100.0,600.0,Cameron,Actor E,
175.0,Movie 174,Action,7.9,30.0,80.0,Nolan,Actor B,
176.0,Movie 176,Action,6.7,100.0,20.0,Scorsese,,
177.0,Movie 177,Romance,5.9,30.0,20.0,Nolan,Actor B,2019.0
178.0,Movie 178,Comedy,8.5,150.0,600.0,Spielberg,Actor C,2017.0
179.0,Movie 179,Drama,7.3,,600.0,,Actor E,2019.0
180.0,Movie 180,Horror,5.0,60.0,80.0,Nolan,Actor C,2017.0
181.0,Movie 181,Horror,8.9,,,Spielberg,Actor B,2022.0
182.0,Movie 182,Drama,6.1,30.0,80.0,Rajamouli,Actor D,2019.0
183.0,Movie 183,Thriller,8.0,100.0,,Rajamouli,Actor B,2017.0
184.0,Movie 184,Sci-Fi,7.7,100.0,300.0,,Actor C,2019.0
185.0,Movie 185,Thriller,4.8,30.0,150.0,Scorsese,Actor B,
186.0,Movie 186,Horror,8.3,10.0,20.0,Scorsese,Actor A,2017.0
,Movie 187,Sci-Fi,9.0,60.0,150.0,Spielberg,Actor B,2015.0
188.0,Movie 188,Fantasy,3.6,100.0,600.0,Cameron,Actor C,2020.0
189.0,Movie 189,Drama,4.0,150.0,150.0,Cameron,Actor A,2022.0
190.0,Movie 190,Action,,,80.0,Rajamouli,Actor B,2022.0
191.0,Movie 191,Romance,7.9,100.0,,Nolan,Actor D,2022.0
192.0,Movie 192,Comedy,7.6,30.0,150.0,Rajamouli,Actor C,2016.0
193.0,Movie 193,Thriller,8.9,10.0,300.0,Spielberg,Actor E,2016.0
194.0,Movie 194,Drama,4.3,,20.0,Scorsese,,
195.0,Movie 195,Romance,5.3,30.0,20.0,Spielberg,Actor E,2020.0
196.0,Movie 196,Romance,5.1,30.0,,,Actor A,2017.0
197.0,Movie 197,Sci-Fi,4.9,30.0,20.0,Rajamouli,Actor B,2015.0
198.0,Movie 198,Fantasy,5.8,,600.0,,Actor E,2020.0
199.0,Movie 199,Drama,8.5,150.0,300.0,,Actor C,2017.0
200.0,Movie 199,Fantasy,5.5,100.0,600.0,Nolan,Actor A,2022.0
201.0,Movie 201,Drama,5.6,100.0,300.0,Cameron,Actor C,2016.0
202.0,Movie 202,Horror,8.8,30.0,20.0,Rajamouli,Actor E,2021.0
203.0,Movie 203,Comedy,6.1,,600.0,Scorsese,Actor E,2019.0
,Movie 204,Thriller,7.3,10.0,600.0,,,2016.0
205.0,Movie 205,Horror,7.8,60.0,600.0,Rajamouli,Actor E,
206.0,Movie 206,Drama,9.5,150.0,300.0,Rajamouli,Actor E,2019.0
207.0,Movie 207,Sci-Fi,7.0,30.0,80.0,Tarantino,,2016.0
208.0,Movie 208,Horror,4.1,30.0,80.0,Cameron,Actor A,
209.0,Movie 209,Sci-Fi,,150.0,20.0,Nolan,Actor E,
210.0,Movie 210,Comedy,5.3,30.0,150.0,Tarantino,,2020.0
211.0,Movie 211,Sci-Fi,4.5,30.0,20.0,Nolan,Actor A,2022.0
212.0,Movie 212,Drama,5.1,100.0,80.0,Scorsese,Actor C,2015.0
213.0,Movie 213,Action,7.2,,300.0,,Actor B,2019.0
214.0,Movie 214,Thriller,6.2,,300.0,Cameron,Actor D,2021.0
215.0,Movie 215,Drama,4.1,10.0,300.0,Rajamouli,Actor B,2016.0
216.0,Movie 216,Horror,7.1,30.0,,,Actor D,2019.0
217.0,Movie 217,Drama,8.5,10.0,600.0,,Actor D,
218.0,Movie 218,Thriller,9.3,150.0,600.0,Nolan,Actor C,2022.0
219.0,Movie 219,Comedy,4.9,150.0,150.0,Cameron,Actor D,2020.0
220.0,Movie 220,Action,4.3,,80.0,Nolan,,2019.0
,Movie 221,Horror,6.5,30.0,,Scorsese,Actor B,2019.0
222.0,Movie 222,Action,6.1,,,Spielberg,Actor C,2018.0
223.0,Movie 223,Fantasy,6.7,10.0,80.0,Scorsese,Actor B,
224.0,Movie 224,Fantasy,7.8,60.0,300.0,Nolan,Actor C,2022.0
225.0,Movie 224,Horror,6.7,10.0,,Spielberg,Actor B,2016.0
226.0,Movie 226,Action,9.3,60.0,20.0,Scorsese,Actor D,2019.0
227.0,Movie 227,Thriller,7.3,,150.0,,Actor B,2020.0
228.0,Movie 228,Sci-Fi,,100.0,600.0,Scorsese,Actor E,2019.0
229.0,Movie 229,Sci-Fi,6.0,150.0,150.0,Rajamouli,Actor B,
230.0,Movie 230,Action,4.3,,80.0,,Actor E,2016.0
231.0,Movie 231,Horror,8.0,150.0,150.0,Scorsese,Actor D,2022.0
232.0,Movie 232,Horror,9.1,30.0,600.0,Nolan,Actor B,2022.0
233.0,Movie 233,Romance,9.4,60.0,80.0,Scorsese,Actor D,2017.0
234.0,Movie 234,Action,4.3,10.0,600.0,Spielberg,Actor D,2019.0
235.0,Movie 235,Horror,9.1,10.0,150.0,,Actor B,2015.0
236.0,Movie 236,Sci-Fi,9.3,10.0,600.0,Spielberg,Actor B,2021.0
237.0,Movie 237,Fantasy,8.8,30.0,300.0,Rajamouli,Actor E,2019.0
,Movie 238,Horror,8.5,100.0,80.0,Nolan,Actor C,2021.0
239.0,Movie 239,Action,8.3,100.0,300.0,Spielberg,Actor C,2021.0
240.0,Movie 240,Comedy,5.6,150.0,80.0,Cameron,,
241.0,Movie 241,Comedy,6.8,150.0,600.0,Rajamouli,Actor A,2020.0
242.0,Movie 242,Drama,8.6,10.0,300.0,Spielberg,Actor D,2015.0
243.0,Movie 243,Horror,3.5,60.0,600.0,Rajamouli,Actor A,2022.0
244.0,Movie 244,Horror,7.3,10.0,20.0,Nolan,Actor A,
245.0,Movie 245,Action,5.9,60.0,20.0,Rajamouli,,2019.0
246.0,Movie 246,Drama,9.0,60.0,20.0,Spielberg,Actor B,2017.0
247.0,Movie 247,Drama,,60.0,150.0,Tarantino,Actor A,2022.0
248.0,Movie 248,Horror,3.8,10.0,150.0,,,2019.0
249.0,Movie 249,Action,9.3,60.0,20.0,Rajamouli,,2022.0
250.0,Movie 249,Thriller,3.6,,150.0,Spielberg,Actor D,2021.0
251.0,Movie 251,Action,5.0,60.0,80.0,Rajamouli,Actor A,2015.0
252.0,Movie 252,Sci-Fi,4.9,60.0,300.0,,Actor E,2017.0
253.0,Movie 253,Drama,8.1,30.0,80.0,Tarantino,Actor C,2022.0
254.0,Movie 254,Sci-Fi,4.2,10.0,,Cameron,Actor E,
,Movie 255,Drama,3.7,150.0,20.0,Rajamouli,Actor D,2016.0
256.0,Movie 256,Sci-Fi,8.3,10.0,20.0,,Actor E,2018.0
257.0,Movie 257,Comedy,8.5,,600.0,Nolan,Actor B,2015.0
258.0,Movie 258,Fantasy,7.7,60.0,600.0,,Actor E,2019.0
259.0,Movie 259,Romance,6.9,60.0,,Nolan,Actor D,2017.0
260.0,Movie 260,Sci-Fi,5.1,30.0,300.0,Cameron,Actor B,2017.0
261.0,Movie 261,Horror,4.2,,,Cameron,Actor E,2021.0
262.0,Movie 262,Thriller,6.5,10.0,300.0,Tarantino,,2015.0
263.0,Movie 263,Fantasy,7.5,10.0,80.0,Tarantino,Actor E,2022.0
264.0,Movie 264,Sci-Fi,8.9,10.0,,,Actor A,2015.0
265.0,Movie 265,Romance,6.7,30.0,80.0,Nolan,Actor D,2021.0
266.0,Movie 266,Horror,,150.0,150.0,Scorsese,,
267.0,Movie 267,Thriller,3.7,150.0,,Rajamouli,Actor D,2016.0
268.0,Movie 268,Horror,8.5,150.0,150.0,Cameron,Actor E,2015.0
269.0,Movie 269,Fantasy,6.9,150.0,,Rajamouli,Actor E,2021.0
270.0,Movie 270,Horror,8.8,60.0,600.0,,,2021.0
271.0,Movie 271,Comedy,4.3,30.0,600.0,Spielberg,Actor C,2016.0
,Movie 272,Action,6.3,60.0,20.0,Tarantino,Actor B,2016.0
273.0,Movie 273,Horror,8.4,10.0,150.0,Cameron,Actor E,2018.0
274.0,Movie 274,Thriller,4.0,30.0,,Nolan,Actor E,2019.0
275.0,Movie 274,Action,6.8,,80.0,Tarantino,Actor D,2018.0
276.0,Movie 276,Romance,9.4,10.0,300.0,Cameron,Actor D,2019.0
277.0,Movie 277,Sci-Fi,8.0,150.0,,Scorsese,Actor B,2017.0
278.0,Movie 278,Comedy,4.2,10.0,,Cameron,Actor C,
279.0,Movie 279,Comedy,5.6,60.0,600.0,Scorsese,Actor D,2017.0
280.0,Movie 280,Horror,4.8,100.0,600.0,Nolan,Actor B,2018.0
281.0,Movie 281,Action,6.8,100.0,20.0,Rajamouli,Actor E,2018.0
282.0,Movie 282,Sci-Fi,6.7,30.0,300.0,Spielberg,Actor B,2016.0
283.0,Movie 283,Romance,6.3,100.0,20.0,Tarantino,Actor C,2019.0
284.0,Movie 284,Fantasy,9.4,,300.0,Nolan,,2022.0
285.0,Movie 285,Comedy,,150.0,300.0,Scorsese,Actor D,2017.0
286.0,Movie 286,Drama,8.6,30.0,,Scorsese,Actor D,
287.0,Movie 287,Drama,8.1,60.0,,Scorsese,Actor E,2016.0
288.0,Movie 288,Action,8.3,150.0,300.0,,Actor A,2021.0
,Movie 289,Sci-Fi,6.0,100.0,600.0,Nolan,,2017.0
290.0,Movie 290,Horror,7.6,10.0,600.0,Scorsese,Actor C,2016.0
291.0,Movie 291,Drama,4.4,100.0,20.0,Cameron,Actor E,2021.0
292.0,Movie 292,Sci-Fi,7.0,100.0,300.0,Cameron,Actor A,2016.0
293.0,Movie 293,Sci-Fi,7.5,100.0,150.0,Nolan,Actor A,2017.0
294.0,Movie 294,Action,8.5,,80.0,Spielberg,Actor B,2016.0
295.0,Movie 295,Action,5.6,30.0,600.0,Spielberg,,2021.0
296.0,Movie 296,Fantasy,6.7,30.0,300.0,Cameron,Actor A,2015.0
297.0,Movie 297,Thriller,8.9,10.0,,Scorsese,Actor D,2015.0
298.0,Movie 298,Horror,4.9,10.0,80.0,Spielberg,Actor B,
299.0,Movie 299,Fantasy,7.7,100.0,150.0,,Actor C,2018.0
300.0,Movie 299,Sci-Fi,7.9,,20.0,,Actor B,2018.0
301.0,Movie 301,Comedy,3.6,30.0,600.0,Scorsese,Actor D,2021.0
302.0,Movie 302,Romance,4.2,100.0,80.0,Cameron,Actor A,2019.0
303.0,Movie 303,Romance,6.4,100.0,,Rajamouli,Actor B,2015.0
304.0,Movie 304,Comedy,,60.0,20.0,Cameron,Actor B,2019.0
305.0,Movie 305,Drama,4.2,150.0,600.0,Tarantino,Actor A,2018.0
,Movie 306,Comedy,5.7,30.0,20.0,Scorsese,Actor A,2018.0
307.0,Movie 307,Horror,3.7,100.0,80.0,Rajamouli,Actor B,2017.0
308.0,Movie 308,Drama,4.0,,80.0,Spielberg,Actor E,2019.0
309.0,Movie 309,Romance,5.3,150.0,20.0,Spielberg,Actor D,2015.0
310.0,Movie 310,Sci-Fi,7.1,150.0,300.0,Rajamouli,Actor C,2021.0
311.0,Movie 311,Drama,4.0,100.0,,Rajamouli,Actor D,2016.0
312.0,Movie 312,Action,6.8,60.0,,Nolan,Actor B,
313.0,Movie 313,Horror,5.0,100.0,80.0,Tarantino,Actor B,2021.0
314.0,Movie 314,Fantasy,4.0,,300.0,Rajamouli,Actor D,2019.0
315.0,Movie 315,Fantasy,6.4,100.0,600.0,,Actor A,2021.0
316.0,Movie 316,Sci-Fi,6.4,100.0,300.0,Nolan,Actor B,2018.0
317.0,Movie 317,Horror,4.5,,150.0,Cameron,Actor D,2018.0
318.0,Movie 318,Fantasy,6.7,100.0,,Rajamouli,Actor E,
319.0,Movie 319,Comedy,5.3,,20.0,Nolan,Actor B,2019.0
320.0,Movie 320,Comedy,9.1,10.0,300.0,Tarantino,,2019.0
321.0,Movie 321,Thriller,6.2,,600.0,,,2016.0
322.0,Movie 322,Romance,6.0,100.0,20.0,Cameron,Actor D,
,Movie 323,Comedy,,150.0,,Tarantino,Actor E,2016.0
324.0,Movie 324,Action,7.7,30.0,300.0,Spielberg,,
325.0,Movie 324,Romance,5.9,60.0,300.0,Scorsese,Actor E,2018.0
326.0,Movie 326,Horror,7.0,30.0,80.0,Tarantino,Actor D,2022.0
327.0,Movie 327,Thriller,3.6,60.0,300.0,Nolan,Actor D,
328.0,Movie 328,Romance,5.1,150.0,80.0,Spielberg,Actor D,2016.0
329.0,Movie 329,Comedy,3.7,100.0,80.0,Tarantino,Actor C,2021.0
330.0,Movie 330,Drama,8.4,,20.0,Rajamouli,Actor E,2016.0
331.0,Movie 331,Thriller,5.5,150.0,20.0,,Actor C,2018.0
332.0,Movie 332,Drama,4.8,10.0,150.0,Nolan,,2020.0
333.0,Movie 333,Drama,4.2,100.0,20.0,Cameron,Actor C,2020.0
334.0,Movie 334,Drama,9.4,100.0,,Spielberg,,2015.0
335.0,Movie 335,Thriller,5.3,10.0,150.0,,,2016.0
336.0,Movie 336,Horror,9.2,150.0,600.0,Rajamouli,Actor A,2019.0
337.0,Movie 337,Romance,5.7,10.0,150.0,Nolan,Actor A,
338.0,Movie 338,Horror,4.6,30.0,600.0,Scorsese,Actor E,2021.0
339.0,Movie 339,Drama,3.5,10.0,600.0,Cameron,,2015.0
,Movie 340,Comedy,4.2,,,Nolan,Actor D,
341.0,Movie 341,Comedy,7.5,,,,Actor C,2018.0
342.0,Movie 342,Comedy,,100.0,80.0,Cameron,Actor A,2020.0
343.0,Movie 343,Horror,6.1,60.0,,Tarantino,Actor B,2018.0
344.0,Movie 344,Thriller,4.0,150.0,20.0,Nolan,Actor A,2016.0
345.0,Movie 345,Action,4.1,30.0,300.0,,Actor A,2020.0
346.0,Movie 346,Fantasy,7.5,10.0,150.0,Spielberg,Actor E,2015.0
347.0,Movie 347,Comedy,6.3,30.0,20.0,,Actor A,2020.0
348.0,Movie 348,Thriller,7.4,,300.0,Scorsese,Actor A,2015.0
349.0,Movie 349,Fantasy,7.6,150.0,150.0,Cameron,Actor E,2016.0
350.0,Movie 349,Action,4.9,10.0,150.0,Nolan,Actor E,2019.0
351.0,Movie 351,Comedy,7.8,30.0,,Nolan,Actor C,2021.0
352.0,Movie 352,Thriller,6.5,60.0,600.0,Cameron,Actor E,
