movie_id,title,genre,rating,budget_million,gross_million,director,lead_actor,release_year,profit
100,Movie 109,Sci-Fi,8.8,10.0,0.0,Nolan,Actor B,2018,-10.0
101,Movie 1090,Drama,3.7,30.0,600.0,Tarantino,Actor D,2018,570.0
102,Movie 1091,Romance,5.6,60.0,80.0,Unknown,Actor C,2015,20.0
103,Movie 1092,Romance,5.8,150.0,20.0,Cameron,Actor E,2015,-130.0
104,Movie 1093,Romance,8.3,60.0,80.0,Tarantino,Actor C,2022,20.0
105,Movie 1094,Drama,6.7,100.0,150.0,Unknown,Unknown,2015,50.0
106,Movie 1095,Horror,6.9,60.0,80.0,Cameron,Actor A,2016,20.0
107,Movie 1096,Romance,6.0,30.0,0.0,Cameron,Actor D,2018,-30.0
108,Movie 1097,Drama,3.8,60.0,0.0,Scorsese,Actor E,2018,-60.0
109,Movie 1098,Thriller,7.5,60.0,20.0,Cameron,Actor B,2020,-40.0
110,Movie 1099,Romance,5.3,10.0,300.0,Unknown,Actor D,2016,290.0
111,Movie 1099,Fantasy,9.4,60.0,0.0,Tarantino,Actor A,2018,-60.0
112,Movie 11,Thriller,9.4,60.0,0.0,Scorsese,Actor B,2017,-60.0
113,Movie 110,Comedy,4.8,60.0,20.0,Rajamouli,Actor A,2022,-40.0
114,Movie 1101,Horror,5.4,30.0,80.0,Cameron,Actor E,2015,50.0
115,Movie 1102,Action,6.59,60.0,80.0,Rajamouli,Actor D,2021,20.0
116,Movie 1103,Action,6.8,60.0,0.0,Rajamouli,Unknown,2018,-60.0
117,Movie 1104,Horror,4.2,150.0,150.0,Scorsese,Actor C,2015,0.0
118,Movie 1105,Fantasy,7.3,60.0,0.0,Nolan,Actor C,2016,-60.0
119,Movie 1106,Drama,7.2,60.0,600.0,Rajamouli,Actor A,2017,540.0
120,Movie 1107,Romance,9.0,30.0,0.0,Rajamouli,Actor E,2021,-30.0
121,Movie 1108,Fantasy,4.7,30.0,150.0,Rajamouli,Actor E,2017,120.0
122,Movie 1109,Sci-Fi,4.1,10.0,150.0,Cameron,Actor D,2019,140.0
123,Movie 111,Drama,9.3,10.0,20.0,Rajamouli,Actor D,2017,10.0
124,Movie 1110,Fantasy,3.9,150.0,150.0,Rajamouli,Unknown,2021,0.0
125,Movie 1111,Comedy,8.1,150.0,80.0,Tarantino,Actor C,2015,-70.0
126,Movie 1112,Drama,6.9,100.0,0.0,Unknown,Actor B,2016,-100.0
127,Movie 1113,Horror,8.2,30.0,150.0,Nolan,Unknown,2018,120.0
128,Movie 1114,Thriller,8.0,60.0,150.0,Cameron,Actor E,2018,90.0
129,Movie 1115,Horror,4.8,30.0,20.0,Nolan,Actor C,2016,-10.0
130,Movie 1116,Action,5.5,60.0,150.0,Nolan,Unknown,2018,90.0
131,Movie 1117,Romance,9.0,10.0,300.0,Cameron,Unknown,2018,290.0
132,Movie 1118,Thriller,4.2,150.0,80.0,Spielberg,Actor D,2016,-70.0
133,Movie 1119,Horror,4.2,10.0,600.0,Spielberg,Actor A,2017,590.0
134,Movie 112,Action,8.5,60.0,300.0,Rajamouli,Unknown,2020,240.0
135,Movie 1120,Horror,6.9,100.0,80.0,Cameron,Unknown,2019,-20.0
136,Movie 1121,Comedy,6.47,30.0,20.0,Spielberg,Actor D,2019,-10.0
137,Movie 1122,Drama,5.0,150.0,600.0,Nolan,Actor B,2015,450.0
138,Movie 1123,Sci-Fi,5.9,60.0,80.0,Tarantino,Unknown,2019,20.0
139,Movie 1124,Fantasy,8.5,60.0,150.0,Tarantino,Unknown,2022,90.0
140,Movie 1126,Drama,6.1,30.0,150.0,Cameron,Actor E,2017,120.0
141,Movie 1127,Drama,3.8,10.0,600.0,Scorsese,Actor B,2021,590.0
142,Movie 1128,Action,6.5,10.0,80.0,Nolan,Actor D,2018,70.0
143,Movie 1129,Horror,5.3,100.0,150.0,Rajamouli,Actor C,2015,50.0
144,Movie 113,Fantasy,4.8,60.0,300.0,Nolan,Actor B,2022,240.0
145,Movie 1130,Romance,5.9,10.0,0.0,Scorsese,Actor C,2016,-10.0
146,Movie 1131,Thriller,8.4,30.0,20.0,Unknown,Unknown,2019,-10.0
147,Movie 1132,Romance,5.0,30.0,0.0,Rajamouli,Actor C,2020,-30.0
148,Movie 1133,Fantasy,6.8,60.0,300.0,Spielberg,Actor B,2022,240.0
149,Movie 1134,Sci-Fi,7.5,30.0,80.0,Spielberg,Actor A,2020,50.0
150,Movie 1135,Comedy,6.8,30.0,150.0,Tarantino,Actor E,2017,120.0
151,Movie 1136,Horror,8.5,150.0,0.0,Scorsese,Unknown,2019,-150.0
152,Movie 1137,Sci-Fi,5.5,100.0,600.0,Cameron,Actor B,2015,500.0
153,Movie 1138,Sci-Fi,6.0,150.0,300.0,Nolan,Actor B,2015,150.0
154,Movie 1139,Thriller,5.6,60.0,80.0,Rajamouli,Actor E,2018,20.0
155,Movie 114,Horror,6.42,30.0,0.0,Tarantino,Actor A,2016,-30.0
156,Movie 1140,Sci-Fi,6.64,30.0,0.0,Scorsese,Actor E,2019,-30.0
157,Movie 1141,Drama,4.9,100.0,0.0,Rajamouli,Actor D,2015,-100.0
158,Movie 1142,Thriller,4.1,100.0,300.0,Cameron,Actor E,2021,200.0
159,Movie 1143,Thriller,7.6,60.0,300.0,Tarantino,Actor D,2018,240.0
160,Movie 1144,Romance,8.6,10.0,150.0,Unknown,Actor E,2020,140.0
161,Movie 1145,Thriller,6.5,30.0,0.0,Cameron,Actor E,2017,-30.0
162,Movie 1146,Fantasy,8.3,60.0,150.0,Rajamouli,Actor A,2018,90.0
163,Movie 1147,Drama,7.0,100.0,0.0,Unknown,Actor A,2021,-100.0
164,Movie 1148,Fantasy,8.3,30.0,150.0,Spielberg,Actor D,2018,120.0
165,Movie 1149,Comedy,5.6,100.0,0.0,Tarantino,Unknown,2015,-100.0
166,Movie 1149,Romance,7.6,30.0,300.0,Nolan,Actor D,2018,270.0
167,Movie 115,Action,4.8,100.0,300.0,Rajamouli,Actor D,2021,200.0
168,Movie 1151,Romance,7.7,30.0,150.0,Scorsese,Actor A,2016,120.0
169,Movie 1152,Thriller,5.7,60.0,150.0,Spielberg,Actor D,2018,90.0
170,Movie 1153,Horror,6.9,60.0,20.0,Unknown,Actor C,2018,-40.0
171,Movie 1154,Fantasy,3.6,30.0,20.0,Unknown,Actor C,2018,-10.0
172,Movie 1155,Comedy,3.6,60.0,150.0,Tarantino,Actor E,2016,90.0
173,Movie 1156,Sci-Fi,6.9,30.0,0.0,Rajamouli,Actor E,2016,-30.0
174,Movie 1157,Fantasy,4.7,60.0,600.0,Rajamouli,Actor D,2021,540.0
175,Movie 1158,Action,8.5,60.0,150.0,Spielberg,Unknown,2018,90.0
176,Movie 1159,Action,6.59,30.0,80.0,Tarantino,Actor B,2016,50.0
177,Movie 116,Sci-Fi,3.9,30.0,150.0,Unknown,Actor A,2017,120.0
178,Movie 1160,Horror,6.7,30.0,80.0,Cameron,Actor B,2019,50.0
179,Movie 1161,Romance,7.9,60.0,20.0,Spielberg,Actor D,2022,-40.0
180,Movie 1162,Action,8.0,60.0,80.0,Scorsese,Actor B,2015,20.0
181,Movie 1163,Horror,5.1,100.0,150.0,Spielberg,Actor E,2018,50.0
182,Movie 1164,Thriller,8.7,150.0,80.0,Tarantino,Actor E,2016,-70.0
183,Movie 1165,Fantasy,5.6,10.0,300.0,Unknown,Actor B,2018,290.0
184,Movie 1166,Horror,4.6,60.0,0.0,Cameron,Actor A,2018,-60.0
185,Movie 1167,Horror,5.2,150.0,600.0,Nolan,Actor C,2016,450.0
186,Movie 1168,Sci-Fi,9.1,60.0,0.0,Tarantino,Actor B,2018,-60.0
187,Movie 1169,Horror,3.6,150.0,80.0,Tarantino,Actor C,2016,-70.0
188,Movie 117,Comedy,9.2,60.0,80.0,Spielberg,Unknown,2018,20.0
189,Movie 1170,Romance,3.6,60.0,600.0,Scorsese,Unknown,2022,540.0
190,Movie 1171,Sci-Fi,8.6,10.0,150.0,Unknown,Actor C,2017,140.0
191,Movie 1172,Sci-Fi,3.5,60.0,80.0,Scorsese,Actor E,2022,20.0
192,Movie 1173,Action,3.9,100.0,600.0,Scorsese,Unknown,2015,500.0
193,Movie 1174,Horror,6.8,30.0,600.0,Tarantino,Actor C,2015,570.0
194,Movie 1174,Drama,9.3,60.0,80.0,Nolan,Actor D,2020,20.0
195,Movie 1176,Romance,4.2,150.0,0.0,Rajamouli,Unknown,2015,-150.0
196,Movie 1177,Comedy,6.9,10.0,300.0,Rajamouli,Actor B,2018,290.0
197,Movie 1178,Comedy,6.47,150.0,150.0,Cameron,Actor E,2021,0.0
198,Movie 1179,Thriller,6.7,10.0,300.0,Scorsese,Actor D,2015,290.0
199,Movie 118,Sci-Fi,5.8,60.0,20.0,Tarantino,Actor C,2016,-40.0
200,Movie 1180,Thriller,8.5,60.0,150.0,Spielberg,Actor C,2017,90.0
201,Movie 1181,Action,8.0,10.0,300.0,Tarantino,Actor A,2018,290.0
202,Movie 1182,Romance,9.2,60.0,600.0,Rajamouli,Actor C,2018,540.0
203,Movie 1183,Sci-Fi,6.9,150.0,300.0,Rajamouli,Actor C,2019,150.0
204,Movie 1184,Horror,9.3,60.0,20.0,Cameron,Actor A,2018,-40.0
205,Movie 1185,Thriller,7.4,60.0,20.0,Cameron,Actor D,2015,-40.0
206,Movie 1186,Horror,4.4,100.0,80.0,Spielberg,Actor A,2018,-20.0
207,Movie 1187,Comedy,8.6,60.0,300.0,Scorsese,Actor B,2020,240.0
208,Movie 1188,Drama,8.8,60.0,0.0,Spielberg,Actor C,2017,-60.0
209,Movie 1189,Sci-Fi,3.7,60.0,0.0,Nolan,Actor E,2017,-60.0
210,Movie 119,Action,8.6,150.0,0.0,Tarantino,Unknown,2017,-150.0
211,Movie 1190,Action,9.5,100.0,20.0,Rajamouli,Actor A,2018,-80.0
212,Movie 1191,Sci-Fi,8.9,30.0,600.0,Unknown,Actor D,2018,570.0
213,Movie 1192,Sci-Fi,8.8,60.0,150.0,Rajamouli,Actor E,2020,90.0
214,Movie 1193,Fantasy,3.6,30.0,20.0,Scorsese,Actor C,2017,-10.0
215,Movie 1194,Romance,3.9,150.0,0.0,Scorsese,Actor D,2021,-150.0
216,Movie 1195,Fantasy,7.5,100.0,20.0,Unknown,Actor C,2021,-80.0
217,Movie 1196,Fantasy,7.6,100.0,300.0,Nolan,Actor B,2018,200.0
218,Movie 1197,Romance,6.48,10.0,600.0,Scorsese,Actor B,2018,590.0
219,Movie 1198,Sci-Fi,6.7,10.0,20.0,Unknown,Actor C,2021,10.0
220,Movie 1199,Sci-Fi,7.0,100.0,600.0,Unknown,Actor D,2018,500.0
221,Movie 1199,Drama,5.5,60.0,20.0,Spielberg,Actor D,2020,-40.0
222,Movie 12,Comedy,7.9,60.0,80.0,Unknown,Actor A,2018,20.0
223,Movie 120,Horror,3.8,60.0,150.0,Tarantino,Actor D,2017,90.0
224,Movie 1201,Action,8.6,60.0,600.0,Unknown,Actor C,2016,540.0
225,Movie 1202,Thriller,9.3,60.0,150.0,Unknown,Actor B,2016,90.0
226,Movie 1203,Fantasy,6.3,150.0,600.0,Unknown,Unknown,2016,450.0
227,Movie 1204,Action,8.8,60.0,0.0,Cameron,Actor D,2022,-60.0
228,Movie 1205,Thriller,5.4,30.0,80.0,Tarantino,Actor B,2021,50.0
229,Movie 1206,Sci-Fi,8.6,60.0,150.0,Cameron,Actor A,2015,90.0
230,Movie 1207,Drama,5.8,150.0,300.0,Spielberg,Actor C,2021,150.0
231,Movie 1208,Sci-Fi,7.4,60.0,0.0,Cameron,Actor A,2021,-60.0
232,Movie 1209,Horror,4.3,60.0,300.0,Spielberg,Actor C,2018,240.0
233,Movie 121,Action,7.0,60.0,20.0,Unknown,Actor A,2015,-40.0
234,Movie 1210,Comedy,8.2,150.0,300.0,Spielberg,Actor D,2018,150.0
235,Movie 1211,Comedy,7.4,10.0,20.0,Rajamouli,Actor C,2015,10.0
236,Movie 1212,Fantasy,5.9,30.0,20.0,Cameron,Actor C,2019,-10.0
237,Movie 1213,Sci-Fi,8.4,10.0,0.0,Tarantino,Actor C,2016,-10.0
238,Movie 1214,Fantasy,5.7,30.0,20.0,Cameron,Actor E,2018,-10.0
239,Movie 1215,Thriller,7.3,30.0,600.0,Cameron,Actor E,2018,570.0
240,Movie 1216,Thriller,6.52,10.0,0.0,Tarantino,Actor E,2018,-10.0
241,Movie 1217,Romance,6.2,100.0,20.0,Unknown,Actor A,2022,-80.0
242,Movie 1218,Fantasy,5.1,10.0,20.0,Rajamouli,Actor E,2020,10.0
243,Movie 1219,Action,6.4,30.0,20.0,Unknown,Actor C,2016,-10.0
244,Movie 122,Sci-Fi,7.1,30.0,150.0,Unknown,Unknown,2018,120.0
245,Movie 1220,Drama,4.4,100.0,20.0,Tarantino,Actor C,2019,-80.0
246,Movie 1221,Action,6.5,100.0,0.0,Tarantino,Actor A,2019,-100.0
247,Movie 1222,Thriller,5.4,10.0,0.0,Scorsese,Actor D,2019,-10.0
248,Movie 1223,Romance,3.7,60.0,300.0,Cameron,Actor B,2019,240.0
249,Movie 1224,Sci-Fi,5.3,150.0,150.0,Unknown,Actor C,2016,0.0
250,Movie 1224,Thriller,6.1,60.0,300.0,Tarantino,Actor B,2021,240.0
251,Movie 1226,Drama,5.2,150.0,80.0,Rajamouli,Unknown,2018,-70.0
252,Movie 1227,Action,4.3,60.0,80.0,Rajamouli,Actor B,2017,20.0
253,Movie 1228,Romance,6.0,60.0,150.0,Nolan,Actor D,2017,90.0
254,Movie 1229,Romance,6.5,150.0,80.0,Nolan,Actor E,2022,-70.0
255,Movie 123,Horror,7.5,10.0,600.0,Nolan,Actor E,2021,590.0
256,Movie 1230,Action,8.2,60.0,20.0,Unknown,Actor A,2018,-40.0
257,Movie 1231,Romance,9.3,30.0,600.0,Spielberg,Actor D,2022,570.0
258,Movie 1232,Sci-Fi,5.6,60.0,0.0,Tarantino,Unknown,2018,-60.0
259,Movie 1233,Horror,7.6,150.0,150.0,Scorsese,Unknown,2018,0.0
260,Movie 1234,Romance,6.6,30.0,80.0,Tarantino,Actor A,2018,50.0
261,Movie 1235,Drama,6.47,60.0,300.0,Tarantino,Actor E,2018,240.0
262,Movie 1236,Comedy,3.6,150.0,20.0,Unknown,Actor B,2017,-130.0
263,Movie 1237,Thriller,8.9,10.0,80.0,Nolan,Actor E,2016,70.0
264,Movie 1238,Romance,4.3,150.0,80.0,Tarantino,Actor A,2015,-70.0
265,Movie 1239,Sci-Fi,5.3,60.0,600.0,Scorsese,Actor D,2022,540.0
266,Movie 124,Drama,7.0,100.0,20.0,Unknown,Actor D,2015,-80.0
267,Movie 124,Sci-Fi,8.5,60.0,20.0,Nolan,Actor A,2018,-40.0
268,Movie 1240,Romance,4.2,60.0,20.0,Spielberg,Actor E,2019,-40.0
269,Movie 1241,Drama,7.6,150.0,600.0,Tarantino,Actor B,2017,450.0
270,Movie 1242,Drama,4.9,60.0,600.0,Rajamouli,Unknown,2017,540.0
271,Movie 1243,Fantasy,8.9,30.0,0.0,Scorsese,Actor E,2017,-30.0
272,Movie 1244,Thriller,3.9,100.0,20.0,Tarantino,Actor C,2018,-80.0
273,Movie 1245,Action,6.0,60.0,600.0,Nolan,Actor D,2015,540.0
274,Movie 1246,Fantasy,6.2,10.0,0.0,Scorsese,Actor E,2016,-10.0
275,Movie 1247,Action,9.3,60.0,20.0,Rajamouli,Actor B,2018,-40.0
276,Movie 1248,Comedy,7.8,60.0,0.0,Rajamouli,Actor C,2018,-60.0
277,Movie 1249,Sci-Fi,4.1,150.0,300.0,Nolan,Actor D,2021,150.0
278,Movie 1249,Thriller,8.2,30.0,150.0,Nolan,Actor E,2022,120.0
279,Movie 1251,Comedy,6.2,60.0,20.0,Tarantino,Actor E,2019,-40.0
280,Movie 1252,Romance,6.9,60.0,0.0,Tarantino,Actor B,2016,-60.0
281,Movie 1253,Action,5.0,150.0,600.0,Tarantino,Actor C,2018,450.0
282,Movie 1254,Horror,6.42,10.0,150.0,Spielberg,Actor D,2021,140.0
283,Movie 1255,Romance,7.4,60.0,600.0,Scorsese,Actor D,2018,540.0
284,Movie 1256,Fantasy,6.8,100.0,150.0,Spielberg,Actor E,2015,50.0
285,Movie 1257,Drama,8.1,100.0,300.0,Scorsese,Actor A,2019,200.0
286,Movie 1258,Comedy,4.1,150.0,20.0,Spielberg,Actor C,2022,-130.0
287,Movie 1259,Comedy,9.0,10.0,300.0,Scorsese,Actor B,2015,290.0
288,Movie 126,Action,9.3,60.0,600.0,Spielberg,Unknown,2020,540.0
289,Movie 1260,Drama,5.0,100.0,600.0,Unknown,Actor A,2016,500.0
290,Movie 1261,Fantasy,6.0,100.0,150.0,Rajamouli,Actor C,2022,50.0
291,Movie 1262,Horror,7.9,100.0,300.0,Scorsese,Actor C,2020,200.0
292,Movie 1263,Fantasy,7.6,30.0,0.0,Cameron,Unknown,2020,-30.0
293,Movie 1264,Sci-Fi,5.8,10.0,80.0,Tarantino,Actor E,2016,70.0
294,Movie 1265,Comedy,5.1,10.0,300.0,Cameron,Actor C,2018,290.0
295,Movie 1266,Romance,3.7,100.0,150.0,Nolan,Actor A,2015,50.0
296,Movie 1267,Fantasy,9.3,30.0,150.0,Spielberg,Actor C,2016,120.0
297,Movie 1268,Comedy,6.2,60.0,150.0,Unknown,Actor E,2016,90.0
298,Movie 1269,Action,9.1,30.0,300.0,Nolan,Actor B,2020,270.0
299,Movie 127,Horror,5.7,60.0,80.0,Cameron,Actor D,2021,20.0
300,Movie 1270,Drama,6.6,30.0,300.0,Rajamouli,Actor C,2022,270.0
301,Movie 1271,Comedy,8.8,10.0,20.0,Cameron,Actor E,2018,10.0
302,Movie 1272,Romance,6.8,60.0,80.0,Scorsese,Unknown,2017,20.0
303,Movie 1273,Comedy,6.47,60.0,150.0,Unknown,Actor A,2022,90.0
304,Movie 1274,Drama,6.9,150.0,300.0,Spielberg,Actor E,2016,150.0
305,Movie 1274,Action,4.8,60.0,150.0,Cameron,Actor E,2020,90.0
306,Movie 1276,Thriller,9.0,150.0,0.0,Tarantino,Unknown,2015,-150.0
307,Movie 1277,Drama,4.6,10.0,150.0,Tarantino,Actor A,2021,140.0
308,Movie 1278,Fantasy,6.2,60.0,300.0,Rajamouli,Actor A,2021,240.0
309,Movie 1279,Fantasy,7.5,10.0,80.0,Tarantino,Actor D,2022,70.0
310,Movie 128,Thriller,5.6,60.0,20.0,Rajamouli,Actor A,2015,-40.0
311,Movie 1280,Drama,6.3,30.0,300.0,Tarantino,Actor D,2021,270.0
312,Movie 1281,Fantasy,5.8,150.0,150.0,Cameron,Actor C,2016,0.0
313,Movie 1282,Horror,4.7,60.0,600.0,Rajamouli,Actor D,2017,540.0
314,Movie 1283,Action,7.6,30.0,300.0,Unknown,Unknown,2019,270.0
315,Movie 1284,Horror,4.0,30.0,20.0,Cameron,Actor E,2016,-10.0
316,Movie 1285,Romance,6.1,60.0,0.0,Nolan,Unknown,2016,-60.0
317,Movie 1286,Sci-Fi,8.7,100.0,80.0,Spielberg,Actor C,2017,-20.0
